ID,Subject,Services,ProgramServiceSubject,Section,SectionItem,Contents,StatePlanSection,PlanPage,pdfPageNumber,EffectiveDate,TransmittalNumber,Superseded1,Superseded2,Superseded3,Superseded4,Superseded5,Superseded6,Superseded7,Superseded8,Superseded9,Superseded10,Superseded11,Superseded12,Superseded13,Superseded14,Superseded15,Superseded16,Superseded17,Superseded18,Superseded19,Superseded20,Superseded21,Superseded22,Superseded23,Superseded24,Superseded25
1052,,Rehabilitative,DAHS,Reimbursement Methodology for Day Activity and Health Services,,,Attachment 4.19-B,Page 07d,1065,2/1/06,06-14(B),00-16,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
1053,,Rehabilitative,DAHS,Reimbursement Methodology for Day Activity and Health Services,,,Attachment 4.19-B,Page 07e,1066,9/1/13,13-30,Sep-46,,00-16,SuperNone,,,,,,,,,,,,,,,,,,,,,
1054,,Clinic Services,ASCs,Ambulatory Surgical Centers (ASCs),,,Attachment 4.19-B,Page 07f,1067,9/1/07,28-Jul,3-Jun,,19-Mar,00-16,SuperNone,,,,,,,,,,,,,,,,,,,,
1055,,Clinic Services,ASCs,Ambulatory Surgical Centers (ASCs),,,Attachment 4.19-B,Page 07g,1068,9/1/11,Nov-32,Oct-87,,,,,,,,,,,,,,,,,,,,,,,,
1056,Birthing Center,Pregnant Women,Reimbursement,Birthing Center Facility Services,,Reimbursement ,Attachment 4.19-B ,Page 08,1069,7/1/14,14-24,13-07,,,19-Mar,,,,,,,,,,,,,,,,,,,,,
1057,,Blank Page,Blank Page,Blank Page,,Blank Page,Attachment 4.19-B ,Page 09,1070,9/1/09,27-Sep,19-Mar,,,,,,,,,,,,,,,,,,,,,,,,
1058,Death,Hospice,,Hospice Care,,Reimbursement ,Attachment 4.19-B,Page 10,1071,1/1/03,5-Feb,92-34,,,,,,,,,,,,,,,,,,,,,,,,
1059,Death,Hospice,,Hospice Care,,Coinsurance for Dual Eligible Recipients,Attachment 4.19-B,Page 11,1072,1/1/03,5-Feb,92-34,,,,,,,,,,,,,,,,,,,,,,,,
1060,Death,Hospice,,Hospice Care,,Reimbursement ,Attachment 4.19-B,Page 12,1073,9/1/11,Nov-34,2-Nov,,,,,,,,,,,,,,,,,,,,,,,,
1061,,Blank Page,Blank Page,Blank Page,,Blank Page,Attachment 4.19-B,Page 13,1074,9/1/09,23-Sep,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
1062,Case Management,Chronic Mental Illness,Reimbursement,Case Management for Persons with Chronic Mental Illness,21,Reimbursement Methodology,Attachment 4.19-B,Page 14,1075,9/1/11,Nov-44,7-Nov,,,,,,,,,,,,,,,,,,,,,,,,
1063,Case Management,Chronic Mental Illness,Reimbursement,Case Management for Persons with Chronic Mental Illness,21,Reimbursement Methodology,Attachment 4.19-B ,Page 14a,1076,9/1/11,Nov-44,8-Apr,,,,,,,,,,,,,,,,,,,,,,,,
1064,IID,Case Management,Reimbursement,Case Management for lndividuals with MR or a Related Condition or Pervasive Developmental Disability,22,Reimbursement Methodology,Attachment 4.19-B,Page 15,1077,9/1/11,Oct-55,13-Oct,,,,,,,,,,,,,,,,,,,,,,,,
1065,IID,Case Management,Reimbursement,Case Management for lndividuals with MR or a Related Condition or Pervasive Developmental Disability,22,Reimbursement Methodology,Attachment 4.19-B ,Page 15a,1078,9/1/11,Oct-55,13-Oct,,,,,,,,,,,,,,,,,,,,,,,,
1066,,Blank Page,Blank Page,Blank Page,,Blank Page,Attachment 4.19-B,Page 16,1079,1/1/12,Nov-45,91-22,,,,,,,,,,,,,,,,,,,,,,,,
1067,Dental,IID,Dental,Rate-Setting Methodology for ICF/MR Dental Services,24,General,Attachment 4.19-B,Page 17,1080,1/1/97,97-05,89-15,,,,,,,,,,,,,,,,,,,,,,,,
1068,,DELETED,DELETED,DELETED-Prosthetic Devices-In-home Services for Total Parental Hyperalimentation ,,,Attachment 4.19-B,Page 18,1081,,10-Sep,18-Jul,,19-Mar,,,,,,,,,,,,,,,,,,,,,,
1069,Diagnostic Services,IID,Diagnostic Services,Diagnostic Services for Person with a Potential of Mental Retardation,13.a,Not Provided,Attachment 4.19-B,Page 19,1082,5/1/98,98-08,93-15,,,,,,,,,,,,,,,,,,,,,,,,
1070,,Rehabilitative,MH,Mental Health Rehabilitative Services,,,Attachment 4.19-B,Page 20,1083,9/1/11,Nov-43,6-Nov,,,7-Apr,3-Jan,,,,,,,,,,,,,,,,,,,,
1071,,Rehabilitative,MH,Mental Health Rehabilitative Services,,,Attachment 4.19-B,Page 20a,1084,9/1/11,Nov-43,21-May,,,7-Apr,3-Jan,,,,,,,,,,,,,,,,,,,,
1072,,Rehabilitative,SUD,Rehabilitative Chemical Dependency Treatment Facility Services,,,Attachment 4.19-B,Page 21,1085,9/1/13,13-29,13-28,,,,,,,,,,,,,,,,,,,,,,,,
1073,,Blank Page,Blank Page,Blank Page,,Blank Page,Attachment 4.19-B,Page 22,1086,6/1/11,22-Nov,91-14,90-09,,,,,,,,,,,,,,,,,,,,,,,
1074,,Blank Page,Blank Page,Blank Page,,Blank Page,Attachment 4.19-B,Page 23,1087,4/1/98,98-11,97-08,,,,,,,,,,,,,,,,,,,,,,,,
1075,,Clinic Services,FQHC,Federally Qualified Health Centers (FQHC),,Payment Methodologies Choice,Attachment 4.19-B,Page 24,1088,10/2/10,Oct-61,1-Jan,90-24,SuperNone,,,,,,,,,,,,,,,,,,,,,,
1076,,Clinic Services,FQHC,Federally Qualified Health Centers (FQHC),,APPS Methodology,Attachment 4.19-B,Page 24a,1089,1/1/11,Oct-90,Oct-61,1-Jan,90-24,SuperNone,,,,,,,,,,,,,,,,,,,,,
1077,,Clinic Services,FQHC,Federally Qualified Health Centers (FQHC),,APPS Methodology,Attachment 4.19-B,Page 24b,1090,1/1/11,Oct-90,Oct-61,1-Jan,90-24,SuperNone,,,,,,,,,,,,,,,,,,,,,
1078,,Clinic Services,FQHC,Federally Qualified Health Centers (FQHC),,APPS Methodology,Attachment 4.19-B,Page 24c,1091,10/2/10,Oct-61,1-Jan,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
1079,,Clinic Services,FQHC,Federally Qualified Health Centers (FQHC),,APPS Methodology,Attachment 4.19-B,Page 24d,1092,10/2/10,Oct-61,1-Jan,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
1080,,Clinic Services,FQHC,Federally Qualified Health Centers (FQHC),,APPS Methodology,Attachment 4.19-B,Page 24e,1093,10/2/10,Oct-61,1-Jan,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
1081,,Clinic Services,FQHC,Federally Qualified Health Centers (FQHC),,APPS Methodology,Attachment 4.19-B,Page 24f,1094,10/2/10,Oct-61,1-Jan,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
1082,,Clinic Services,FQHC,Federally Qualified Health Centers (FQHC),,APPS Methodology,Attachment 4.19-B,Page 24g,1095,1/1/16,16-02,Oct-61,1-Jan,SuperNone,,,,,,,,,,,,,,,,,,,,,,
1083,,Clinic Services,FQHC,Federally Qualified Health Centers (FQHC),,APPS Methodology,Attachment 4.19-B,Page 24h,1096,10/2/10,Oct-61,1-Jan,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
1084,,EPSDT,,Reimbursement Methodologies for EPSDT Services,32.(1),,Attachment 4.19-B,Page 25,1097,3/1/12,17-Dec,Nov-38,Oct-79,Oct-34,17-Sep,21-Aug,07-09(A),8-Jun,19-Mar,,,,,,,,,,,,,,,,,
1085,,EPSDT,Counseling,Reimbursement Methodologies for EPSDT Services,32.(2),Counseling,Attachment 4.19-B,Page 25a,1098,9/1/10,17-Oct,8-Jun,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
1086,EPSDT,DME,EPSDT,Reimbursement Methodologies for EPSDT Services,32.(3),DME,Attachment 4.19-B,Page 25b,1099,9/1/11,Nov-38,Oct-79,Oct-34,8-Jun,92-37,,,,,,,,,,,,,,,,,,,,,
1087,EPSDT,EPSDT,Nursing,Reimbursement Methodologies for EPSDT Services,32.(4),Nursing Services,Attachment 4.19-B,Page 25c,1100,1/1/06,8-Jun,93-24,,,,,,,,,,,,,,,,,,,,,,,,
1088,,EPSDT,PDN,Reimbursement Methodologies for EPSDT Services,32.(5),Private Duty Nursing Services,Attachment 4.19-B,Page 25d,1101,11/1/15,15-37,Oct-79,Oct-34,8-Jun,19-Mar,,,,,,,,,,,,,,,,,,,,,
1089,,Therapies,Physical Therapy,Reimbursement Methodologies for EPSDT Services,32.(6),PT,Attachment 4.19-B,Page 25e,1102,1/1/14,14-08,13-33,17-Dec,Nov-38,Oct-79,Oct-34,07-09(A),8-Jun,19-Mar,SuperNone,,,,,,,,,,,,,,,,
1090,,Therapies,Occupational Therapy,Reimbursement Methodologies for EPSDT Services,32.(7),OT,Attachment 4.19-B,Page 25f,1103,1/1/14,14-08,13-33,17-Dec,Nov-38,Oct-79,Oct-34,07-09(A),8-Jun,19-Mar,SuperNone,,,,,,,,,,,,,,,,
1091,,Therapies,Speech Therapy,Reimbursement Methodologies for EPSDT Services,32.(8),Speech and language,Attachment 4.19-B,Page 25g,1104,1/1/14,14-08,13-33,17-Dec,Nov-38,Oct-79,Oct-34,07-09(A),8-Jun,19-Mar,SuperNone,,,,,,,,,,,,,,,,
1092,,EPSDT,,Reimbursement Methodologies for EPSDT Services,32.(9),Nutritional Services,Attachment 4.19-B,Page 25h,1105,9/1/11,Nov-38,Oct-79,Oct-34,8-Jun,19-Mar,,,,,,,,,,,,,,,,,,,,,
1093,,EPSDT,,Reimbursement Methodologies for EPSDT Services,32.(10),Physician Services,Attachment 4.19-B,Page 25i,1106,11/1/15,15-37,15-33,15-15,15-011,,8-Jun,19-Mar,,,,,,,,,,,,,,,,,,,
1094,,EPSDT,,Reimbursement Methodologies for EPSDT Services,32.(11),Audiology and Hearing Services,Attachment 4.19-B,Page 25j,1107,9/1/11,Nov-38,Oct-79,Oct-34,8-Jun,94-19,,,,,,,,,,,,,,,,,,,,,
1095,,EPSDT,,Reimbursement Methodologies for EPSDT Services,32.(12),Medical Transportation,Attachment 4.19-B,Page 25k,1108,1/1/06,8-Jun,19-Mar,,,,,,,,,,,,,,,,,,,,,,,,
1096,,EPSDT,,Reimbursement Methodologies for EPSDT Services,32.(13),Dental Services,Attachment 4.19-B,Page 25k.1,1109,1/1/16,16-08,15-11,13-32,Oct-79,Oct-34,8-Jun,SuperNone,,,,,,,,,,,,,,,,,,,
1097,EPSDT,PCS,Reimbursement,Reimbursement Methodologies for EPSDT Services,32.(14),Personal Care Services,Attachment 4.19-B,Page 25k.2,1110,9/1/15,15-28,Oct-34,07-09(A),8-Jun,SuperNone,,,,,,,,,,,,,,,,,,,,,
1098,,,SHARS,Reimbursement Methodologies for EPSDT Services,32.(17),Direct Medical Services Payment Methodology,Attachment 4.19-B,Page 25l,1111,9/1/06,5-Jun,4-Apr,,,,,,,,,,,,,,,,,,,,,,,,
1099,,,SHARS,Reimbursement Methodologies for EPSDT Services,32.(17),Direct Medical Services Payment Methodology,Attachment 4.19-B,Page 25l.1,1112,9/1/06,5-Jun,4-Apr,,,,,,,,,,,,,,,,,,,,,,,,
1100,,Transportation,SHARS,Reimbursement Methodologies for EPSDT Services,32.(17),Transporation Services Methodology,Attachment 4.19-B,Page 25l.2,1113,9/1/06,5-Jun,4-Apr,,,,,,,,,,,,,,,,,,,,,,,,
1101,,Transportation,SHARS,Reimbursement Methodologies for EPSDT Services,32.(17),Transporation Services Methodology,Attachment 4.19-B,Page 25l.3,1114,9/1/06,5-Jun,4-Apr,,,,,,,,,,,,,,,,,,,,,,,,
1102,,,SHARS,Reimbursement Methodologies for EPSDT Services,32.(17),Certification of Funds/ Annual Cost Report Process,Attachment 4.19-B,Page 25l.4,1115,9/1/08,31-Aug,5-Jun,,,,,,,,,,,,,,,,,,,,,,,,
1103,,,SHARS,Reimbursement Methodologies for EPSDT Services,32.(17),Annual Cost Report Process/ Cost Settlement Process,Attachment 4.19-B,Page 25l.5,1116,9/1/08,31-Aug,5-Jun,,,,,,,,,,,,,,,,,,,,,,,,
1104,,,SHARS,Reimbursement Methodologies for EPSDT Services,32.(18),EPSDT Case Management,Attachment 4.19-B,Page 25l.6,1117,1/1/13,13-11,Nov-38,Oct-79,Oct-34,16-Jul,SuperNone,,,,,,,,,,,,,,,,,,,,
1105,,EPSDT,Lead,Reimbursement Methodologies for EPSDT Services,32.(19),Enviroment Lead Investigations,Attachment 4.19-B,Page 25m,1118,1/1/16,16-08,19-Oct,10-Oct,SuperNone,,,,,,,,,,,,,,,,,,,,,,
1106,Case Management,Blind Children,Reimbursement,Case Management for Children Who are Blind or Visually Impaired,33,Reimbursement Methodology,Attachment 4.19-B,Page 26,1119,9/1/12,30-Dec,90-28,,,,,,,,,,,,,,,,,,,,,,,,
1107,,Blank Page,Blank Page,Blank Page,,Blank Page,Attachment 4.19-B,Page 27,1120,1/1/11,5-Nov,19-Jan,,,,,,,,,,,,,,,,,,,,,,,,
1108,,Physicians,,Services by Certified Pediatric Nurse Practitioners and Certified Family Nurse Practioners,,,Attachment 4.19-B,Page 28,1121,2/1/11,Oct-82,Oct-37,,19-Mar,,,,,,,,,,,,,,,,,,,,,,
1109,Case Management,Pregnant Women,Reimbursement,Case Management for Pregnant Women Age 21 and Over,38,Reimbursement Methodology,Attachment 4.19-B,Page 31,1122,1/1/13,13-11,Nov-37,,16-Jul,11-Mar,,,,,,,,,,,,,,,,,,,,,
1110,IID,Case Management,Toddlers with IID,Case Management Services for Infants and Toddlers with Developmental Disabilities,39,Reimbursement Methodology,Attachment 4.19-B,Page 32,1123,10/1/11,Nov-56,Oct-53,,00-03,92-33,SuperNone,,,,,,,,,,,,,,,,,,,,
1111,,,SHARS,EPSDT-SHARS Services Provided to Children with Disabilities under age 21,Expired,EPSDT,Attachment 4.19-B,Page 33,1124,9/1/04,4-Apr,95-08,,,,,,,,,,,,,,,,,,,,,,,,
1112,,,SHARS,EPSDT-SHARS Services Provided to Children with Disabilities under age 22,Expired,EPSDT,Attachment 4.19-B,Page 33a,1125,9/1/04,4-Apr,95-08,,,,,,,,,,,,,,,,,,,,,,,,
1113,,,SHARS,EPSDT-SHARS Services Provided to Children with Disabilities under age 23,Expired,EPSDT,Attachment 4.19-B,Page 33b,1126,9/1/04,4-Apr,95-08,,,,,,,,,,,,,,,,,,,,,,,,
1114,,,SHARS,EPSDT-SHARS Services Provided to Children with Disabilities under age 24,Expired,EPSDT,Attachment 4.19-B,Page 33c,1127,9/1/04,4-Apr,95-08,,,,,,,,,,,,,,,,,,,,,,,,
1115,,Physicians,Anesthesiologist,Services Provided by Certified Registered Nurse Anesthetists and Anesthesiologist Assistants,,,Attachment 4.19-B,Page 34,1128,6/1/03,13-18,Oct-82,,19-Mar,,,,,,,,,,,,,,,,,,,,,,
1116,LTSS,PCS-PHC,Reimbursement,Reimbursement Methodology for Primary Home Care Services,42,Home and Community Care for Funtionally Disabled Elderly Individuals,Attachment 4.19-B,Page 35,1129,9/1/03,17-Mar,1-Feb,,,,,,,,,,,,,,,,,,,,,,,,
1117,,Physicians,Counseling,Licensed Clinical Social Work/ Licensed Professional Counseler Services,"43. 44.",Counseling,Attachment 4.19-B,Page 36,1130,7/1/13,13-38,Oct-82,,,,,,,,,,,,,,,,,,,,,,,,
1118,,Physicians,Counseling,Licensed Clinical Social Work/ Licensed Professional Counseler Services,"43.44.",Counseling,Attachment 4.19-B,Page 37,1131,9/1/13,13-39,13-38,,19-Mar,,,,,,,,,,,,,,,,,,,,,,
1119,,Physicians,Counseling,Licensed Marriage and Family Therapist Services,45,Counseling,Attachment 4.19-B ,Page 37a,1132,9/1/13,13-39,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
1120,,Clinic Services,Dialysis,Renal Dialysis Facility Services,46,Facilities,Attachment 4.19-B,Page 38,1133,7/1/10,25-Oct,23-Sep,,,,,,,,,,,,,,,,,,,,,,,,
1121,,Clinic Services,Dialysis,Renal Dialysis Facility Services,46,Facilities,Attachment 4.19-B ,Page 38a,1134,9/1/11,30-Nov,Oct-85,,,,,,,,,,,,,,,,,,,,,,,,
1122,,EPSDT,ECI,Specialized Skills Training,47,,Attachment 4.19-B,Page 39,1135,10/1/11,Nov-42,Oct-54,,19-Mar,,00-18,SuperNone,,,,,,,,,,,,,,,,,,,
1123,,Tribes,Tribes,Reimbursement Methodology for Outpatient Services provided in Indian Health Services facilities operating under the authority of P.L. 93-638,48,,Attachment 4.19-B,Page 40,1136,4/1/04,2-Apr,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
1124,,Physicians,Reimbursement,Physician Assistants,49,,Attachment 4.19-B,Page 41,1137,2/1/11,Oct-82,Oct-37,,,,,,,,,,,,,,,,,,,,,,,,
1125,Non-Facility,PPEs,PPCs,Payment Adjustment for Provider Preventable Conditions,,Compliance/ Assurance,Attachment 4.19-B,Page 42,1138,9/1/13,28-Dec,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
1126,Non-Facility,PPEs,PPCs,Payment Adjustment for Provider Preventable Conditions,,"Other Provider-Preventable Conditions Payment Adjustment Methodology",Attachment 4.19-B ,Page 42a,1139,9/1/13,28-Dec,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
1127,,Medicare,Dual-Eligible,Methods and Standards for Establising Payment Rates-Other Types of Care,,Payment of Medicare Part A&B Deductible/Coinsurance,Supplement 1 to Attachment 4.19-B ,Page 01,1140,1/1/13,13-01,22-Dec,,,,91-34,SuperNone,,,,,,,,,,,,,,,,,,,
1128,,Medicare,Dual-Eligible,Methods and Standards for Establising Payment Rates-Other Types of Care,,Payment of Medicare Part A&B Deductible/Coinsurance,Supplement 1 to Attachment 4.19-B ,Page 02,1141,1/1/13,13-01,22-Dec,,,,91-34,SuperNone,,,,,,,,,,,,,,,,,,,
1129,,Medicare,Dual-Eligible,Methods and Standards for Establising Payment Rates-Other Types of Care,,Payment of Medicare Part A&B Deductible/Coinsurance,Supplement 1 to Attachment 4.19-B ,Page 03,1142,1/1/13,13-01,Dec-35,,,,91-34,SuperNone,,,,,,,,,,,,,,,,,,,
1130,,Medicare,Dual-Eligible,Methods and Standards for Establising Payment Rates-Other Types of Care,,Payment of Medicare Part A&B Deductible/Coinsurance,Supplement 1 to Attachment 4.19-B ,Page 04,1143,9/1/13,13-25,13-01,,,,,,,,,,,,,,,,,,,,,,,,
1131,,Medicare,Dual-Eligible,Methods and Standards for Establising Payment Rates-Other Types of Care,,Definitions,Supplement 1 to Attachment 4.19-B ,Page 05,1144,3/1/15,14-46,1-Aug,,,,,,,,,,,,,,,,,,,,,,,,
1132,,Medicare,Dual-Eligible,Methods and Standards for Establising Payment Rates-Other Types of Care,,Scope,Supplement 1 to Attachment 4.19-B ,Page 06,1145,3/1/15,14-46,Nov-45,,,,,,,,,,,,,,,,,,,,,,,,
1133,,Medicare,Dual-Eligible,Methods and Standards for Establising Payment Rates-Other Types of Care,,Methodology,Supplement 1 to Attachment 4.19-B ,Page 7,1146,3/1/15,14-46,Nov-45,,,,,,,,,,,,,,,,,,,,,,,,
1134,,Medicare,Dual-Eligible,"Explanation of Supplement 2 ""Missing""",,,Supplement 1 to Attachment 4.19-B,Pages 5-7,1147,3/1/15,14-46,,,,,,,,,,,,,,,,,,,,,,,,,
1135,,1915(j),PAS-CDS,Consumer Directed Personal Assistance Services,,Attachment to 1915(j) Pre-Print,Supplement 3 to Attachment 4.19-B ,Page 01,1148,11/3/08,Aug-36,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
1136,,1915(k),CFC,Community First Choice (CFC) Reimbursement Methodology,1915(k),,Supplement 4 to Attachment 4.19-B ,Page 01,1149,9/1/15,15-30,14-26,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
1137,,1915(k),CFC,Community First Choice (CFC) Reimbursement Methodology,1915(k),,Supplement 4 to Attachment 4.19-B ,Page 02,1150,9/1/15,15-30,14-26,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
1138,,1915(k),CFC,Community First Choice (CFC) Reimbursement Methodology,1915(k),,Supplement 4 to Attachment 4.19-B ,Page 03,1151,9/1/15,15-30,14-26,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
1139,,1915(k),CFC,Community First Choice (CFC) Reimbursement Methodology,1915(k),,Supplement 4 to Attachment 4.19-B ,Page 04,1152,6/1/15,14-26,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
1140,,,Rx,State Assurances with Respect to Limits on Payment for Drugs,,Assurances,Attachment 4.19-B(1) ,Page 01,1153,5/1/90,90-12,88-27,,,,,,,,,,,,,,,,,,,,,,,,
1141,,,Rx,State Assurances with Respect to Limits on Payment for Drugs,,Assurances,Attachment 4.19-B(1) ,Page 02,1154,5/1/90,90-12,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
1142,Nursing Facility,Bed Hold,,Payments for Reserved Beds during Recipients Absence from an Institution,,Facilities,Attachment 4.19-C ,Page 01,1155,10/1/96,96-22,96-14,,,79-17,75-27,,,,,,,,,,,,,,,,,,,,
1143,ICF/IID,IID,,Reimbursement Methodology for ICF/IID,,,Attachment 4.19-D ,Page 01,1156,1/1/15,15-03,3-May,,,,,,,,,,,,,,,,,,,,,,,,
1144,ICF/IID,IID,,Reimbursement Methodology for ICF/IID,,,Attachment 4.19-D ,Page 02,1157,1/1/15,15-03,3-May,,,,,,,,,,,,,,,,,,,,,,,,
1145,ICF/IID,IID,,Reimbursement Methodology for ICF/IID,,,Attachment 4.19-D ,Page 03,1158,1/1/15,15-03,3-May,,,,,,,,,,,,,,,,,,,,,,,,
1146,ICF/IID,IID,,Reimbursement Methodology for ICF/IID,,,Attachment 4.19-D ,Page 04,1159,1/1/15,15-03,23-Jun,,,,,,,,,,,,,,,,,,,,,,,,
1147,ICF/IID,IID,,Reimbursement Methodology for ICF/IID,,,Attachment 4.19-D ,Page 05,1160,1/1/15,15-03,23-Jun,,,,,,,,,,,,,,,,,,,,,,,,
1148,ICF/IID,IID,,Reimbursement Methodology for ICF/IID,,,Attachment 4.19-D ,Page 06,1161,1/1/15,15-03,Sep-36,,,,,,,,,,,,,,,,,,,,,,,,
1149,ICF/IID,IID,,Reimbursement Methodology for ICF/IID,,,Attachment 4.19-D ,Page 07,1162,1/1/15,15-03,Sep-36,,,,,,,,,,,,,,,,,,,,,,,,
1150,ICF/IID,IID,,Reimbursement Methodology for ICF/IID,,,Attachment 4.19-D ,Page 08,1163,1/1/15,15-03,Sep-36,,,,,,,,,,,,,,,,,,,,,,,,
1151,ICF/IID,IID,,Reimbursement Methodology for ICF/IID,,,Attachment 4.19-D ,Page 09,1164,1/1/15,15-03,3-May,,,,,,,,,,,,,,,,,,,,,,,,
1152,ICF/IID,DME,ACD,Reimbursement Methodology for ICF/IID,"11.12.13.14.","Medical Service and DME Covered as ICF/IID ServicesPayment for Dental ServicesMedicare Part DAugmentive Communication Devices",Attachment 4.19-D,Page 10,1165,1/1/15,15-03,2-Sep,,,,,,,,,,,,,,,,,,,,,,,,
1153,ICF/IID,IID,,Reimbursement Methodology for ICF/IID,,,Attachment 4.19-D,Page 11,1166,1/1/15,15-03,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
1154,ICF/IID,IID,,Reimbursement Methodology for ICF/IID,,,Attachment 4.19-D,Page 12,1167,9/1/15,15-24,15-03,26-Nov,,,,,,,,,,,,,,,,,,,,,,,
1155,ICF/IID,IID,,Reimbursement Methodology for ICF/IID,,Attendant Compensation Rate Enhancement,Attachment 4.19-D,Page 13,1168,1/1/15,15-03,26-Oct,,,,,,,,,,,,,,,,,,,,,,,,
1156,ICF/IID,IID,,Reimbursement Methodology for ICF/IID,,Attendant Compensation Rate Enhancement,Attachment 4.19-D,Page 14,1169,1/1/15,15-03,26-Oct,,,,,,,,,,,,,,,,,,,,,,,,
1157,ICF/IID,IID,,Reimbursement Methodology for ICF/IID,,Supplemental Payments ,Attachment 4.19-D,Page 15,1170,1/1/15,15-03,23-Dec,,,,,,,,,,,,,,,,,,,,,,,,
1158,ICF/IID,IID,,Reimbursement Methodology for ICF/IID,,Supplemental Payments ,Attachment 4.19-D,Page 16,1171,1/1/15,15-03,23-Dec,,,,,,,,,,,,,,,,,,,,,,,,
1159,ICF/IID,IID,,Reimbursement Methodology for ICF/IID,,Supplemental Payments ,Attachment 4.19-D,Page 17,1172,1/1/15,15-03,23-Dec,,,,,,,,,,,,,,,,,,,,,,,,
1160,ICF/IID,IID,,Reimbursement Methodology for ICF/IID,,Supplemental Payments ,Attachment 4.19-D,Page 18,1173,9/1/15,15-24,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
1161,ICF/IID,IID,,State Assurances for ICF/IID,,Assurances,Attachment 4.19-D(1) ,Page 01,1174,1/1/90,90-10,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
1162,ICF/IID,IID,,State Assurances for ICF/IID,,Assurances,Attachment 4.19-D(1) ,Page 02,1175,1/1/90,90-10,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
1163,ICF/IID,IID,,State Assurances for ICF/IID,,Assurances,Assurance 4.19-D ,Page 01,1176,7/1/88,88-3,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
1164,ICF/IID,IID,,State Assurances for ICF/IID,,Assurances,Assurance 4.19-D ,Page 02,1177,7/1/88,88-3,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
1165,ICF/IID,IID,,State Assurances for ICF/IID-Attachment 1,,Assurances,Assurance 4.19-D ,Page 03,1178,7/1/88,88-3,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
1166,ICF/IID,IID,,State Assurances for ICF/IID-Attachment 1,,Assurances,Assurance 4.19-D ,Page 04,1179,7/1/88,88-3,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
1167,ICF/IID,IID,,State Assurances for ICF/IID-Attachment 2,,Assurances,86-2(A-1) RAI ,Page 01,1180,1/1/86,86-2(A-1),SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
1168,ICF/IID,IID,,State Assurances for ICF/IID-Attachment 2,,Assurances,86-2(A-1) RAI ,Page 02,1181,1/1/86,86-2(A-1),SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
1169,ICF/IID,IID,,State Assurances for ICF/IID-Attachment 2,,Assurances,86-2(A-1) RAI ,Page 03,1182,1/1/86,86-2(A-1),SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
1170,ICF/IID,IID,,State Assurances for ICF/IID-Attachment 3,,Assurances,86-2(A-1) RAI ,Page 04,1183,1/1/86,86-2(A-1),SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
1171,ICF/IID,IID,,State Assurances for ICF/IID-Attachment 3,,Assurances,86-2(A-1) RAI ,Page 05,1184,1/1/86,86-2(A-1),SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
1172,ICF/IID,IID,,State Assurances for ICF/IID-Attachment 3,,Assurances,86-2(A-1) RAI ,Page 06,1185,1/1/86,86-2(A-1),SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
1173,ICF/IID,IID,,State Assurances for ICF/IID-Attachment 3,,Assurances,86-2(A-1) RAI ,Page 07,1186,1/1/86,86-2(A-1),SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
1174,ICF/IID,IID,,State Assurances for ICF/IID-Attachment 4,,Assurances,86-2(A-1) RAI ,Page 08,1187,1/1/86,86-2(A-1),SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
1175,ICF/IID,IID,,State Assurances for ICF/IID-Attachment 4,,Assurances,86-2(A-1) RAI ,Page 09,1188,1/1/86,86-2(A-1),SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
